stim,block1,block2
1,5,8
2,8,8
3,7,8
4,8,8
5,8,8
6,6,8
7,8,8
8,8,8
9,8,8
10,8,8
11,8,8
12,8,8
13,8,8
14,6,8
15,7,8
16,8,8
17,7,8
18,8,6
19,7,7
20,8,8
21,7,8
22,8,8
23,7,8
24,7,7
25,7,7
26,8,6
27,8,7
28,7,8
29,8,7
30,8,8
31,7,8
32,7,6
33,8,8
34,7,8
35,8,8
36,8,8
37,8,8
38,7,7
39,8,8
40,8,8
41,8,8
42,8,8
43,8,8
44,7,7
45,8,8
46,8,8
47,8,8
48,8,8
49,8,8
50,8,7
51,7,6
52,7,7
53,8,8
54,8,8
55,8,8
56,8,8
57,7,7
58,8,8
59,8,7
60,8,6
61,6,7
62,7,7
63,6,6
64,7,8
65,8,8
66,8,8
