stim,block1,block2
1,7,6
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,7,7
17,8,8
18,8,8
19,7,7
20,8,8
21,8,8
22,8,8
23,8,8
24,6,8
25,7,8
26,7,8
27,7,8
28,7,3
29,8,8
30,8,7
31,8,7
32,8,8
33,7,8
34,6,6
35,8,8
36,8,8
37,8,8
38,8,8
39,8,8
40,8,8
41,8,8
42,8,8
43,8,7
44,8,7
45,8,8
46,8,7
47,7,8
48,8,8
49,8,8
50,8,8
51,8,7
52,8,7
53,8,8
54,8,8
55,8,8
56,8,8
57,6,8
58,8,7
59,8,8
60,8,8
61,8,7
62,8,8
63,8,7
64,8,8
65,7,8
66,8,8
