stim,block1,block2
1,8,8
2,8,8
3,6,8
4,8,8
5,8,8
6,8,8
7,8,8
8,7,8
9,8,8
10,8,8
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,5,6
17,7,8
18,7,6
19,7,8
20,7,8
21,8,8
22,8,8
23,8,8
24,6,7
25,8,8
26,7,8
27,7,8
28,7,7
29,8,8
30,6,8
31,8,8
32,7,7
33,8,8
34,7,8
35,8,8
36,8,6
37,8,8
38,8,6
39,8,8
40,8,8
41,8,8
42,8,8
43,8,8
44,7,8
45,8,8
46,8,8
47,8,6
48,8,6
49,6,8
50,7,8
51,8,6
52,7,8
53,8,8
54,8,8
55,8,8
56,8,8
57,6,6
58,8,8
59,7,7
60,6,6
61,6,7
62,8,8
63,7,8
64,8,7
65,7,6
66,8,8
