stim,block1,block2
1,5,4
2,8,8
3,7,6
4,6,8
5,6,6
6,7,4
7,8,8
8,5,8
9,8,8
10,8,8
11,8,8
12,8,8
13,8,8
14,6,6
15,8,7
16,7,6
17,7,8
18,6,4
19,6,5
20,8,8
21,7,8
22,7,7
23,5,7
24,4,5
25,7,7
26,6,6
27,6,7
28,5,6
29,8,7
30,5,7
31,3,8
32,5,7
33,4,5
34,4,4
35,8,8
36,7,7
37,8,8
38,4,7
39,7,5
40,8,8
41,8,7
42,8,8
43,8,6
44,8,7
45,8,8
46,7,6
47,6,7
48,8,7
49,6,7
50,8,7
51,6,5
52,6,7
53,7,7
54,7,7
55,7,6
56,8,8
57,6,6
58,6,6
59,7,5
60,8,7
61,6,5
62,6,8
63,8,7
64,6,7
65,5,7
66,8,8
