stim,block1,block2
1,8,8
2,8,8
3,8,8
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,6,8
11,8,8
12,8,8
13,8,8
14,8,8
15,8,8
16,8,7
17,7,6
18,7,8
19,5,7
20,8,8
21,8,8
22,8,8
23,8,8
24,8,8
25,8,8
26,7,7
27,8,6
28,7,7
29,8,8
30,8,7
31,6,7
32,6,8
33,8,8
34,8,7
35,8,8
36,8,8
37,8,8
38,7,8
39,8,8
40,8,8
41,8,8
42,8,8
43,8,8
44,8,8
45,8,8
46,8,8
47,8,6
48,8,8
49,8,8
50,8,8
51,7,7
52,8,7
53,8,8
54,8,8
55,8,8
56,8,8
57,7,8
58,7,8
59,8,8
60,7,6
61,8,7
62,8,7
63,8,8
64,8,7
65,7,8
66,8,8
