stim,block1,block2
1,8,8
2,8,8
3,7,7
4,8,8
5,8,8
6,8,8
7,8,8
8,8,8
9,8,8
10,8,8
11,8,8
12,8,8
13,8,8
14,7,8
15,8,8
16,6,6
17,8,6
18,8,8
19,7,6
20,8,8
21,8,8
22,7,8
23,8,6
24,6,8
25,8,8
26,7,7
27,7,8
28,8,7
29,7,8
30,8,7
31,8,8
32,6,8
33,8,8
34,8,8
35,8,8
36,8,8
37,8,8
38,8,7
39,8,8
40,8,8
41,8,8
42,8,8
43,7,8
44,8,8
45,8,8
46,6,6
47,8,8
48,7,4
49,8,6
50,8,8
51,8,7
52,7,8
53,8,8
54,8,8
55,8,8
56,8,8
57,6,7
58,8,8
59,8,3
60,8,8
61,8,8
62,6,8
63,8,7
64,7,7
65,8,5
66,8,8
