Participant,576
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,57,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
0,1,1,9,black,black,black,white,black,white,white,white,white,white,white,black,white,black,black,black
1,1,2,27,black,black,black,black,white,white,white,black,black,white,white,white,black,white,white,black
2,1,3,3,black,black,white,white,black,black,white,white,white,white,black,black,white,white,black,black
3,1,4,44,black,black,black,black,black,white,white,black,black,white,white,black,white,white,white,white
