Participant,689
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,1,black,white,white,black,black,white,white,black,black,white,white,black,black,white,white,black
0,1,1,7,white,white,black,black,black,black,white,white,white,white,black,black,black,black,white,white
0,2,2,3,black,black,white,white,black,black,white,white,white,white,black,black,white,white,black,black
0,3,3,6,black,black,black,black,black,black,black,black,white,white,white,white,white,white,white,white
0,4,4,2,white,white,black,white,black,black,black,white,white,black,black,black,white,black,white,white
0,5,5,4,black,white,black,black,white,white,white,black,black,white,white,white,black,black,white,black
0,6,6,5,white,white,black,black,white,black,white,black,black,white,black,white,black,black,white,white
0,7,7,0,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
1,1,8,1,white,white,black,black,white,white,black,black,white,white,black,black,white,white,black,black
1,2,9,38,black,black,white,white,black,white,black,white,white,black,white,black,white,white,black,black
1,3,10,21,black,black,white,white,black,white,black,black,white,white,white,black,black,white,white,black
