Participant,967
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,35,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
0,1,1,13,black,black,white,white,white,black,white,white,white,black,white,white,black,black,black,black
