Participant,158
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,46,black,white,black,black,white,black,white,black,black,white,black,black,white,white,white,white
0,1,1,58,black,black,white,black,white,black,white,black,white,black,black,white,white,black,white,white
0,2,2,34,white,black,black,white,white,black,black,white,white,black,black,white,white,black,black,white
