Participant,547
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,28,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
0,1,1,23,white,black,white,black,white,white,black,black,black,white,black,white,white,black,white,black
1,1,3,63,black,black,white,white,black,black,white,black,white,white,white,black,white,white,black,black
2,1,5,41,white,black,white,black,white,black,white,black,white,black,white,black,white,black,white,black
3,1,7,8,black,white,black,white,black,white,black,white,black,white,black,white,black,white,black,white
