Participant,838
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,33,white,black,white,black,black,white,black,white,white,black,white,black,black,white,black,white
0,1,1,9,black,black,black,white,black,white,white,white,white,white,white,black,white,black,black,black
1,1,2,31,white,white,black,black,white,black,white,white,black,black,black,black,white,white,black,white
2,1,3,14,white,white,black,black,white,white,black,black,black,black,black,white,white,white,white,black
3,1,4,56,white,black,black,white,white,white,black,black,white,black,white,white,black,white,black,black
